"Freq [GHz]","dB(S(port2:1,port1:1)) []"
2,-54.3027949165265
2.01,-53.9864819834704
2.02,-53.6690733352492
2.03,-53.3505295438
2.04,-53.0308103911975
2.05,-52.7098748229886
2.06,-52.3876808992181
2.07,-52.0641857429641
2.08,-51.7393454862037
2.09,-51.4131152127848
2.1,-51.0854488982921
2.11,-50.7562993465557
2.12,-50.4256181225354
2.13,-50.0933554813031
2.14,-49.7594602927918
2.15,-49.423879961987
2.16,-49.0865603441739
2.17,-48.7474456548367
2.18,-48.4064783737649
2.19,-48.0635991428701
2.2,-47.7187466571843
2.21,-47.3718575484417
2.22,-47.0228662605978
2.23,-46.6717049165653
2.24,-46.3183031753824
2.25,-45.9625880789319
2.26,-45.604483887249
2.27,-45.2439119013409
2.28,-44.880790272331
2.29,-44.5150337955971
2.3,-44.1465536884312
2.31,-43.7752573495717
2.32,-43.4010480987614
2.33,-43.0238248942736
2.34,-42.6434820260808
2.35,-42.2599087820693
2.36,-41.8729890843546
2.37,-41.4826010923903
2.38,-41.0886167691127
2.39,-40.690901405872
2.4,-40.2893131013084
2.41,-39.8837021886688
2.42,-39.4739106052641
2.43,-39.0597711968629
2.44,-38.641106948744
2.45,-38.2177301338775
2.46,-37.7894413672332
2.47,-37.356028553469
2.48,-36.9172657131958
2.49,-36.4729116705619
2.5,-36.0227085819748
2.51,-35.5663802822758
2.52,-35.1036304204678
2.53,-34.6341403520043
2.54,-34.1575667484716
2.55,-33.6735388779623
2.56,-33.1816555002155
2.57,-32.6814813092335
2.58,-32.1725428420231
2.59,-31.6543237546006
2.6,-31.1262593444665
2.61,-30.5877301711243
2.62,-30.0380545911582
2.63,-29.4764799796103
2.64,-28.9021723517814
2.65,-28.3142040248804
2.66,-27.711538861303
2.67,-27.0930145065878
2.68,-26.4573208638428
2.69,-25.8029738164452
2.7,-25.1282828988274
2.71,-24.4313111875226
2.72,-23.7098250920553
2.73,-22.9612308948584
2.74,-22.1824937124839
2.75,-21.3700328636188
2.76,-20.5195851868561
2.77,-19.626024284155
2.78,-18.6831184341865
2.79,-17.6832022782636
2.8,-16.6167264723865
2.81,-15.4716349705387
2.82,-14.232504200494
2.83,-12.8793777368522
2.84,-11.3863092892981
2.85,-9.72004155873012
2.86,-7.84101102657248
2.87,-5.71605675214865
2.88,-3.38007367772868
2.89,-1.15887487468316
2.9,-0.0153510942012743
2.91,-0.692793204527959
2.92,-2.3729984352327
2.93,-4.13082930692375
2.94,-5.67024983135513
2.95,-6.96457146769689
2.96,-8.04821196544858
2.97,-8.96040414232783
2.98,-9.73383439456551
2.99,-10.3939317541249
3,-10.9602303061375
3.01,-11.447812694863
3.02,-11.8684549022288
3.03,-12.2314698205154
3.04,-12.5443171696207
3.05,-12.8130446763402
3.06,-13.0426098516117
3.07,-13.2371173769402
3.08,-13.3999964291615
3.09,-13.5341348078299
3.1,-13.6419816220348
3.11,-13.7256268108606
3.12,-13.7868633858817
3.13,-13.8272366355191
3.14,-13.8480833800239
3.15,-13.8505635531266
3.16,-13.8356858060295
3.17,-13.8043284103467
3.18,-13.75725643071
3.19,-13.6951359122038
3.2,-13.6185456598466
3.21,-13.5279870611802
3.22,-13.423892307491
3.23,-13.3066312963407
3.24,-13.1765174422505
3.25,-13.0338125794579
3.26,-12.8787311076932
3.27,-12.7114435067763
3.28,-12.532079326982
3.29,-12.3407297485326
3.3,-12.1374497945689
3.31,-11.9222602771795
3.32,-11.6951495554825
3.33,-11.4560751885856
3.34,-11.2049655750507
3.35,-10.9417216851867
3.36,-10.6662190144375
3.37,-10.3783099172524
3.38,-10.0778265237425
3.39,-9.76458449966641
3.4,-9.4383879885295
3.41,-9.09903617890584
3.42,-8.74633207829443
3.43,-8.38009425661493
3.44,-8.00017255942485
3.45,-7.60646909601603
3.46,-7.19896619317734
3.47,-6.77776347950596
3.48,-6.34312682271568
3.49,-5.89555244957127
3.5,-5.43585014358043
3.51,-4.96524974248047
3.52,-4.48553486815424
3.53,-3.99920625323469
3.54,-3.50967311970617
3.55,-3.0214633053818
3.56,-2.54042946854055
3.57,-2.07390854236012
3.58,-1.63076595449779
3.59,-1.22123195837847
3.6,-0.856430682522218
3.61,-0.547537171592886
3.62,-0.304593858430919
3.63,-0.135166609269245
3.64,-0.0431612579367452
3.65,-0.0281578375381657
3.66,-0.0854888593410642
3.67,-0.20703418978382
3.68,-0.382466759954513
3.69,-0.600586558903736
3.7,-0.850445105004033
3.71,-1.12211225956342
3.72,-1.40707845292851
3.73,-1.69836854637137
3.74,-1.99046786109241
3.75,-2.27914891125015
3.76,-2.56126194959313
3.77,-2.83452756004768
3.78,-3.09735075385461
3.79,-3.34866392072167
3.8,-3.58779914122592
3.81,-3.81438703609449
3.82,-4.02827808808105
3.83,-4.22948224940319
3.84,-4.41812304618252
3.85,-4.59440297719705
3.86,-4.75857760692689
3.87,-4.91093629574744
3.88,-5.05178796696013
3.89,-5.18145067974563
3.9,-5.30024406842295
3.91,-5.40848393440458
3.92,-5.50647845072369
3.93,-5.594525571254
3.94,-5.67291133710838
3.95,-5.74190884867286
3.96,-5.80177772916505
3.97,-5.8527639490054
3.98,-5.89509991309758
3.99,-5.92900473793713
4,-5.95468466427627
4.01,-5.97232281624669
4.02,-5.98210950718406
4.03,-5.98421530369351
4.04,-5.97880020452302
4.05,-5.96601431079206
4.06,-5.94599851157755
4.07,-5.91888518224887
4.08,-5.88479889537484
4.09,-5.84385714602964
4.1,-5.79617109502554
4.11,-5.74184633509752
4.12,-5.68098368643316
4.13,-5.61368002924188
4.14,-5.54002918233737
4.15,-5.46012283800154
4.16,-5.37405156473618
4.17,-5.28190589090621
4.18,-5.18377748374625
4.19,-5.07976043973646
4.2,-4.96995270394066
4.21,-4.85445763750567
4.22,-4.73338575409444
4.23,-4.6068566474812
4.24,-4.47500113376078
4.25,-4.33796363244559
4.26,-4.1959048109231
4.27,-4.04900451601842
